key,en,de,es,fr,ar,he,hi,it,ja,ko,nl,pl,pt-PT,ru,zh-Hans,zh-Hant,zh-HK,confidence_notes
"Every keyboard pack — finance, symbols, code, math, custom","Every keyboard pack — finance, symbols, code, math, custom","Jedes Tastatur-Paket — Finanzen, Symbole, Code, Mathematik, Eigene","Todos los paquetes de teclado — finanzas, símbolos, código, matemáticas y personalizado","Tous les packs de clavier — finance, symboles, code, maths, personnalisé",كل حزم لوحة المفاتيح — المال والرموز والأكواد والرياضيات والمخصصة,"כל חבילות המקלדת — פיננסים, סמלים, קוד, מתמטיקה ומותאמת אישית","हर कीबोर्ड पैक — वित्त, चिह्न, कोड, गणित, कस्टम","Ogni pacchetto di tastiera — finanza, simboli, codice, matematica, personalizzato",すべてのキーボードパック — 金融、記号、コード、数学、カスタム,"모든 키보드 팩 — 금융, 기호, 코드, 수학, 사용자 지정","Elk toetsenbordpakket — financiën, symbolen, code, wiskunde, aangepast","Każdy pakiet klawiatury — finanse, symbole, kod, matematyka, własny","Todos os pacotes de teclado — finanças, símbolos, código, matemática, personalizado","Все наборы клавиатуры — финансы, символы, код, математика, свой набор",所有键盘包 — 金融、符号、代码、数学、自定义,所有鍵盤包 — 金融、符號、程式碼、數學、自訂,(no in-app Localizable.strings — iOS falls back; not localized),"Pack/category names match each file's existing translations (Finance/Symbols/Programmer/Math/Custom). zh,ja,ko use native list separators. RTL (ar/he): keys stay English on left; values are native RTL."
Every premium theme,Every premium theme,Jedes Premium-Design,Todos los temas premium,Tous les thèmes premium,كل السمات المميزة,כל ערכות הנושא המתקדמות,हर प्रीमियम थीम,Ogni tema premium,すべてのプレミアムテーマ,모든 프리미엄 테마,Elk premium thema,Każdy motyw premium,Todos os temas premium,Все премиум-темы,所有高级主题,所有進階主題,(no in-app Localizable.strings — iOS falls back; not localized),"Straightforward; 'premium' rendered per file convention (de Premium, zh-Hans 高级, zh-Hant 進階, ru премиум)."
"Tax & tip, clipboard history, and every future pack","Tax & tip, clipboard history, and every future pack","Steuer & Trinkgeld, Zwischenablageverlauf und jedes zukünftige Paket","Impuestos y propinas, historial del portapapeles y todos los paquetes futuros","Taxe et pourboire, historique du presse-papiers et tous les packs à venir",الضريبة والبقشيش، وسجل الحافظة، وكل حزمة مستقبلية,"מס וטיפ, היסטוריית לוח, וכל חבילה עתידית","टैक्स और टिप, क्लिपबोर्ड इतिहास, और भविष्य का हर पैक","Tasse e mance, cronologia degli appunti e ogni pacchetto futuro",税・チップ、クリップボード履歴、そして今後のすべてのパック,"세금 및 팁, 클립보드 기록, 그리고 향후 모든 팩","Belasting en fooi, klembordgeschiedenis en elk toekomstig pakket","Podatek i napiwek, historia schowka oraz każdy przyszły pakiet","Imposto e gorjeta, histórico da área de transferência e todos os pacotes futuros","Налог и чаевые, история буфера обмена и все будущие наборы",税费与小费、剪贴板历史，以及未来的所有键盘包,稅金與小費、剪貼簿記錄，以及未來的所有鍵盤包,(no in-app Localizable.strings — iOS falls back; not localized),'Tax & tip' localized as tax+gratuity/tip; matches existing Tax/Tips pack tone.
"One-time purchase. No subscription, ever.","One-time purchase. No subscription, ever.","Einmaliger Kauf. Kein Abo, niemals.","Compra única. Sin suscripción, nunca.","Achat unique. Aucun abonnement, jamais.",عملية شراء لمرة واحدة. بدون أي اشتراك على الإطلاق.,"רכישה חד-פעמית. ללא מנוי, אף פעם.","एक बार की ख़रीदारी। कोई सदस्यता नहीं, कभी नहीं।","Acquisto una tantum. Nessun abbonamento, mai.",買い切り。サブスクは一切なし。,한 번만 결제. 구독은 전혀 없습니다.,Eenmalige aankoop. Nooit een abonnement.,"Jednorazowy zakup. Żadnej subskrypcji, nigdy.","Compra única. Sem subscrição, nunca.",Разовая покупка. Никаких подписок.,一次性购买。永不订阅。,一次性購買。永不訂閱。,(no in-app Localizable.strings — iOS falls back; not localized),Idiomatic; emphatic 'ever' rendered naturally per language.
Unlock every key,Unlock every key,Schalte jede Taste frei,Desbloquea todas las teclas,Débloquez toutes les touches,افتح كل مفتاح,פתחו כל מקש,हर कुंजी अनलॉक करें,Sblocca ogni tasto,すべてのキーをロック解除,모든 키 잠금 해제,Ontgrendel elke toets,Odblokuj każdy klawisz,Desbloqueie todas as teclas,Разблокируйте все клавиши,解锁每一个按键,解鎖每一個按鍵,(no in-app Localizable.strings — iOS falls back; not localized),Imperative; matches existing 'Unlock/Unlocked' verb choices per file.
"That key is part of NumPad Pro — unlock every pack, theme, and future feature with one purchase.","That key is part of NumPad Pro — unlock every pack, theme, and future feature with one purchase.","Diese Taste gehört zu NumPad Pro — schalte mit einem einzigen Kauf jedes Paket, jedes Design und jede zukünftige Funktion frei.","Esa tecla forma parte de NumPad Pro — desbloquea todos los paquetes, temas y funciones futuras con una sola compra.","Cette touche fait partie de NumPad Pro — débloquez tous les packs, thèmes et fonctionnalités à venir avec un seul achat.",هذا المفتاح جزء من NumPad Pro — افتح كل حزمة وسمة وميزة مستقبلية بعملية شراء واحدة.,"המקש הזה הוא חלק מ-NumPad Pro — פתחו כל חבילה, ערכת נושא ותכונה עתידית ברכישה אחת.","वह कुंजी NumPad Pro का हिस्सा है — एक ही ख़रीदारी से हर पैक, थीम और भविष्य की सुविधा अनलॉक करें।","Quel tasto fa parte di NumPad Pro — sblocca ogni pacchetto, tema e funzione futura con un solo acquisto.",そのキーはNumPad Proに含まれています — 一度の購入で、すべてのパック、テーマ、今後の機能をロック解除できます。,"그 키는 NumPad Pro에 포함되어 있습니다 — 한 번의 구입으로 모든 팩, 테마, 향후 기능을 잠금 해제하세요.","Die toets maakt deel uit van NumPad Pro — ontgrendel elk pakket, thema en toekomstige functie met één aankoop.","Ten klawisz jest częścią NumPad Pro — odblokuj każdy pakiet, motyw i przyszłą funkcję jednym zakupem.","Essa tecla faz parte do NumPad Pro — desbloqueie todos os pacotes, temas e funcionalidades futuras com uma única compra.","Эта клавиша входит в NumPad Pro — разблокируйте все наборы, темы и будущие функции одной покупкой.",该按键属于 NumPad Pro — 一次购买即可解锁所有键盘包、主题及未来功能。,該按鍵屬於 NumPad Pro — 一次購買即可解鎖所有鍵盤包、主題及未來功能。,(no in-app Localizable.strings — iOS falls back; not localized),Longest string; em-dash preserved. 'NumPad Pro' kept Latin (LTR island in ar/he).
Unlock every pack,Unlock every pack,Schalte jedes Paket frei,Desbloquea todos los paquetes,Débloquez tous les packs,افتح كل حزمة,פתחו כל חבילה,हर पैक अनलॉक करें,Sblocca ogni pacchetto,すべてのパックをロック解除,모든 팩 잠금 해제,Ontgrendel elk pakket,Odblokuj każdy pakiet,Desbloqueie todos os pacotes,Разблокируйте все наборы,解锁所有键盘包,解鎖所有鍵盤包,(no in-app Localizable.strings — iOS falls back; not localized),Imperative; consistent with 'Unlock every key'.
"Get finance, symbols, programmer, math, and custom packs — plus every premium theme.","Get finance, symbols, programmer, math, and custom packs — plus every premium theme.","Erhalte die Pakete Finanzen, Symbole, Programmierer, Mathematik und Eigene — plus jedes Premium-Design.","Consigue los paquetes de finanzas, símbolos, programador, matemáticas y personalizado — además de todos los temas premium.","Obtenez les packs finance, symboles, programmeur, maths et personnalisé — ainsi que tous les thèmes premium.",احصل على حزم المال والرموز والمبرمج والرياضيات والمخصصة — بالإضافة إلى كل سمة مميزة.,"קבלו את חבילות הפיננסים, הסמלים, המתכנת, המתמטיקה והמותאמת אישית — בנוסף לכל ערכת נושא מתקדמת.","वित्त, चिह्न, प्रोग्रामर, गणित और कस्टम पैक पाएँ — साथ ही हर प्रीमियम थीम।","Ottieni i pacchetti finanza, simboli, programmatore, matematica e personalizzato — oltre a ogni tema premium.",金融、記号、プログラマー、数学、カスタムの各パック — さらにすべてのプレミアムテーマが手に入ります。,"금융, 기호, 프로그래머, 수학, 사용자 지정 팩 — 여기에 모든 프리미엄 테마까지 받으세요.","Krijg de pakketten financiën, symbolen, programmeur, wiskunde en aangepast — plus elk premium thema.","Zyskaj pakiety finanse, symbole, programista, matematyka i własny — a do tego każdy motyw premium.","Obtenha os pacotes de finanças, símbolos, programador, matemática e personalizado — além de todos os temas premium.","Получите наборы «Финансы», «Символы», «Программист», «Математика» и свой набор — плюс все премиум-темы.",获得金融、符号、程序员、数学和自定义键盘包 — 还有所有高级主题。,取得金融、符號、程式設計師、數學與自訂鍵盤包 — 還有所有進階主題。,(no in-app Localizable.strings — iOS falls back; not localized),Pack list matches existing pack names; em-dash preserved.
Make NumPad yours,Make NumPad yours,Mach NumPad zu deinem,Haz NumPad a tu medida,Personnalisez NumPad,اجعل NumPad ملكك,התאימו את NumPad לעצמכם,NumPad को अपना बनाएँ,Rendi NumPad tuo,NumPadを自分仕様に,NumPad를 내 것으로,Maak NumPad van jou,Dostosuj NumPad do siebie,Torne o NumPad seu,Настройте NumPad под себя,打造专属于你的 NumPad,打造專屬於你的 NumPad,(no in-app Localizable.strings — iOS falls back; not localized),"Adapted idiomatically (e.g. de 'Mach NumPad zu deinem', fr 'Personnalisez NumPad') — not literal; review for brand tone. LOW-CONFIDENCE (verify with native reviewer): ar, he, hi."
Unlock every pack and premium theme with a single one-time purchase.,Unlock every pack and premium theme with a single one-time purchase.,Schalte mit einem einzigen einmaligen Kauf jedes Paket und jedes Premium-Design frei.,Desbloquea todos los paquetes y temas premium con una sola compra única.,Débloquez tous les packs et thèmes premium avec un seul achat unique.,افتح كل حزمة وكل سمة مميزة بعملية شراء واحدة لمرة واحدة.,פתחו כל חבילה וכל ערכת נושא מתקדמת ברכישה חד-פעמית אחת.,एक ही बार की ख़रीदारी से हर पैक और प्रीमियम थीम अनलॉक करें।,Sblocca ogni pacchetto e tema premium con un unico acquisto una tantum.,一度の買い切り購入で、すべてのパックとプレミアムテーマをロック解除。,한 번의 결제로 모든 팩과 프리미엄 테마를 잠금 해제하세요.,Ontgrendel elk pakket en premium thema met één eenmalige aankoop.,Odblokuj każdy pakiet i motyw premium jednym jednorazowym zakupem.,Desbloqueie todos os pacotes e temas premium com uma única compra.,Разблокируйте все наборы и премиум-темы одной разовой покупкой.,一次性购买即可解锁所有键盘包和高级主题。,一次性購買即可解鎖所有鍵盤包和進階主題。,(no in-app Localizable.strings — iOS falls back; not localized),Mirrors the existing first_run hero subtitle already in StoreViewController.
